model,random_state,test_size,n_epochs,batch_size,learning_rate,weight_decay,ROC-AUC,PR-AUC,Accuracy
NN+RF,21,0.7,50,16,0.0001,0.0001,0.4503569110966905,0.2388685406730388,0.6861313868613139
NN+RF,21,0.7,50,16,0.0001,0.0001,0.5020909943038431,0.2801839626271169,0.7262773722627737
NN+RF,5,0.7,50,16,0.0001,0.0001,0.5889754127911169,0.3010521312967994,0.718978102189781
NN+RF,5,0.7,50,16,0.0001,0.0001,0.5109236426562838,0.2865962760767619,0.7481751824817519
NN+RF,5,0.7,50,16,0.0001,0.0001,0.5279400100944552,0.2499708467543772,0.7262773722627737
NN+RF,4,0.7,50,16,0.0001,0.0001,0.4627586704160357,0.2203291259074246,0.7299270072992701
NN+RF,4,0.7,50,16,0.0001,0.0001,0.5037133174706179,0.2481580445069451,0.7299270072992701
NN+RF,4,0.7,50,16,0.0001,0.0001,0.5111399524118538,0.2594208642815902,0.7408759124087592
NN+RF,3,0.7,50,16,0.0001,0.0001,0.4709423895017665,0.2504801302581107,0.718978102189781
NN+RF,3,0.7,50,16,0.0001,0.0001,0.5360155743024011,0.2930138505480321,0.718978102189781
NN+RF,3,0.7,50,16,0.0001,0.0001,0.4809647415098421,0.2509111671220078,0.7299270072992701
NN+RF,2,0.7,50,16,0.0001,0.0001,0.5930131948950899,0.3171034837213422,0.7518248175182481
NN+RF,2,0.7,50,16,0.0001,0.0001,0.4986300382147234,0.2657120011402791,0.7226277372262774
NN+RF,2,0.7,50,16,0.0001,0.0001,0.5161871800418198,0.2504285536486899,0.7335766423357665
NN+RF,1,0.7,50,16,0.0001,0.0001,0.5656860624414161,0.3118093641213996,0.7627737226277372
NN+RF,1,0.7,50,16,0.0001,0.0001,0.615905977359579,0.3113396613156556,0.7299270072992701
NN+RF,1,0.7,50,16,0.0001,0.0001,0.5589083567668902,0.3505526727071235,0.7481751824817519
NN+RF,0,0.7,50,16,0.0001,0.0001,0.4958180113923138,0.2785062283307174,0.7481751824817519
NN+RF,0,0.7,50,16,0.0001,0.0001,0.4567380488860048,0.2250853560119291,0.7043795620437956
NN+RF,0,0.7,50,16,0.0001,0.0001,0.4878145504362247,0.251282672740347,0.7262773722627737
NN+RF,0,0.2,50,16,0.0001,0.0001,0.6557017543859648,0.3867055725242008,0.759493670886076
NN+RF,0,0.2,50,16,0.0001,0.0001,0.5399122807017543,0.4040449590050751,0.7848101265822784
NN+RF,0,0.2,50,16,0.0001,0.0001,0.681140350877193,0.4057969061008594,0.7468354430379747
NN+RF,1,0.2,50,16,0.0001,0.0001,0.5460526315789473,0.2982815369763431,0.7215189873417721
NN+RF,1,0.2,50,16,0.0001,0.0001,0.5710526315789474,0.2964923342959039,0.7468354430379747
NN+RF,1,0.2,50,16,0.0001,0.0001,0.4508771929824561,0.2304852236749754,0.7088607594936709
NN+RF,2,0.2,50,16,0.0001,0.0001,0.6978070175438597,0.4538760867315549,0.7468354430379747
NN+RF,2,0.2,50,16,0.0001,0.0001,0.636842105263158,0.4762764418046926,0.7721518987341772
NN+RF,2,0.2,50,16,0.0001,0.0001,0.6175438596491228,0.3545865251308755,0.7468354430379747
NN+RF,3,0.2,50,16,0.0001,0.0001,0.5364035087719299,0.3649471758732407,0.7848101265822784
NN+RF,3,0.2,50,16,0.0001,0.0001,0.5526315789473684,0.3540145702121512,0.759493670886076
NN+RF,3,0.2,50,16,0.0001,0.0001,0.5008771929824561,0.33880138540635,0.7341772151898734
