model,random_state,test_size,ROC-AUC,PR-AUC,Accuracy
Random Forest,21,0.3,0.604804339403332,0.3721737988201797,0.7542372881355932
Logistic Regression,21,0.3,0.6268888027896165,0.3532612607979483,0.5677966101694916
Gradient Boosting,21,0.3,0.5850445563734987,0.3556705913686523,0.7203389830508474
Random Forest,21,0.3,0.604804339403332,0.3721737988201797,0.7542372881355932
Logistic Regression,21,0.3,0.6268888027896165,0.3532612607979483,0.5677966101694916
Gradient Boosting,21,0.3,0.5850445563734987,0.3556705913686523,0.7203389830508474
Random Forest,21,0.3,0.604804339403332,0.3721737988201797,0.7542372881355932
Logistic Regression,21,0.3,0.6268888027896165,0.3532612607979483,0.5677966101694916
Gradient Boosting,21,0.3,0.5850445563734987,0.3556705913686523,0.7203389830508474
Random Forest,21,0.3,0.604804339403332,0.3721737988201797,0.7542372881355932
Logistic Regression,21,0.3,0.6268888027896165,0.3532612607979483,0.5677966101694916
Gradient Boosting,21,0.3,0.5850445563734987,0.3556705913686523,0.7203389830508474
Random Forest,0,0.2,0.6640350877192982,0.4174109803881708,0.7341772151898734
Logistic Regression,0,0.2,0.5929824561403508,0.304049785933363,0.6455696202531646
Gradient Boosting,0,0.2,0.6289473684210526,0.3211530759784654,0.6962025316455697
Random Forest,0,0.2,0.6640350877192982,0.4174109803881708,0.7341772151898734
Logistic Regression,0,0.2,0.5929824561403508,0.304049785933363,0.6455696202531646
Gradient Boosting,0,0.2,0.6289473684210526,0.3211530759784654,0.6962025316455697
Random Forest,0,0.2,0.6640350877192982,0.4174109803881708,0.7341772151898734
Logistic Regression,0,0.2,0.5929824561403508,0.304049785933363,0.6455696202531646
Gradient Boosting,0,0.2,0.6289473684210526,0.3211530759784654,0.6962025316455697
Random Forest,0,0.2,0.6640350877192982,0.4174109803881708,0.7341772151898734
Logistic Regression,0,0.2,0.5929824561403508,0.304049785933363,0.6455696202531646
Gradient Boosting,0,0.2,0.6289473684210526,0.3211530759784654,0.6962025316455697
Random Forest,0,0.2,0.6640350877192982,0.4174109803881708,0.7341772151898734
Logistic Regression,0,0.2,0.5929824561403508,0.304049785933363,0.6455696202531646
Gradient Boosting,0,0.2,0.6289473684210526,0.3211530759784654,0.6962025316455697
Random Forest,1,0.2,0.6635964912280702,0.3886506774526,0.759493670886076
Logistic Regression,1,0.2,0.5114035087719297,0.2539852924634355,0.5822784810126582
Gradient Boosting,1,0.2,0.518421052631579,0.301373513780046,0.7215189873417721
Random Forest,1,0.2,0.6635964912280702,0.3886506774526,0.759493670886076
Logistic Regression,1,0.2,0.5114035087719297,0.2539852924634355,0.5822784810126582
Gradient Boosting,1,0.2,0.518421052631579,0.301373513780046,0.7215189873417721
Random Forest,1,0.2,0.6635964912280702,0.3886506774526,0.759493670886076
Logistic Regression,1,0.2,0.5114035087719297,0.2539852924634355,0.5822784810126582
Gradient Boosting,1,0.2,0.518421052631579,0.301373513780046,0.7215189873417721
Random Forest,1,0.2,0.6635964912280702,0.3886506774526,0.759493670886076
